model,concurrency,ttft_ms,e2e_ms,tpot_ms,itl_mean_ms,itl_p95_ms,prefill_ms,tps,prompt_tokens,output_tokens
qwen2514b,4,16314.746588468552,22197.188129027683,24.014412469260275,23.921260112690117,25.548406938711803,13.029207166666666,41.64256990592087,62.875,246.125
qwen2514b,8,34854.297267979586,40584.43704966841,24.030662058997986,23.945178540723834,25.61444619606281,12.560458965517242,41.61405189049516,69.10344827586206,239.6551724137931
qwen2514b,16,69092.11776653926,74944.29910845227,24.01411646173388,23.917239292918357,25.499304466777378,12.969850305555555,41.64290382935584,65.02777777777777,244.91666666666666
qwen2514b,32,128078.94900265861,134015.39375735263,24.041670059559046,23.936339099721252,25.647916980818206,13.54700031372549,41.59524990876542,63.09803921568628,248.1764705882353
qwen2514b,64,231501.29727238702,237395.55691821236,24.011067877116957,23.910731046755775,25.568753055163793,13.029067202380954,41.64837785709143,65.83333333333333,246.71428571428572
yi34b,1,691.0610415718772,11832.190405238758,44.09442113410227,43.84652348714682,45.10090567848899,28.065224818181818,22.678781234255364,65.9090909090909,254.36363636363637
yi34b,2,10408.775667349497,21567.667583624523,44.056864902979164,43.78845712383199,44.97849643230438,12.586982333333333,22.698166178291185,61.75,255.0
yi34b,4,29025.927117892676,40194.186295781816,44.03456618147322,43.796396372135575,44.97693521635873,11.552808142857144,22.70957004647832,62.357142857142854,255.14285714285714
yi34b,8,60468.901925616796,71514.58717717064,43.9942911756172,43.77356115734053,44.95662384563022,11.325369666666667,22.730359968408546,56.0,252.55555555555554
yi34b,16,114735.72538449214,125742.06001941975,43.9887049817097,43.76915683217496,44.949783728672905,10.728297923076923,22.733323690766518,59.42307692307692,251.69230769230768
yi34b,32,215907.4464468729,227014.3562157949,44.020806435077894,43.78027899549464,45.000962983994256,10.218703952380952,22.716806887948042,61.54761904761905,253.76190476190476
yi34b,64,344806.4083829522,355941.23347103596,44.02943103475074,43.783316913983654,44.906072691082954,11.7697493125,22.712262403380745,57.953125,254.46875
