ts,model,label,ok,error,ttft_ms,e2e_ms,prompt_tokens,output_tokens,tps,tpot_ms,prefill_ms,itl_mean_ms,itl_p95_ms,itl_count
1761166136.1942565,gpt-oss:20b,long_instruction,True,,,5505.3911209106445,112,256,58.24217796595383,17.1696875859375,259.672603,17.17325161568261,18.5483455657959,253
1761166139.4597578,gpt-oss:20b,math_gsm8k,True,,6761.03949546814,8343.652725219727,101,176,58.4994751277519,17.09417046590909,249.535072,17.838268394929816,19.497573375701904,166
1761166144.0811865,gpt-oss:20b,chat_multi_turn,True,,8927.605152130127,13012.140989303589,94,256,58.21117066189161,17.1788333515625,209.785345,17.630562608541265,18.038153648376465,247
1761166148.719029,gpt-oss:20b,code_humaneval,True,,14117.483854293823,17461.37237548828,96,256,58.53407278631787,17.08406663671875,251.42375,17.537140170572258,18.355798721313473,247
1761166153.3393657,gpt-oss:20b,chat_multi_turn,True,,17950.24871826172,22034.597635269165,94,256,58.11995825708358,17.2057935,209.555972,17.626968955221447,18.551349639892575,247
1761166157.8992226,gpt-oss:20b,short_instruction,True,,22904.217958450317,26971.431732177734,79,256,58.57848191948406,17.0711149765625,182.491497,17.49597290749492,17.819738388061523,247
1761166162.2750802,gpt-oss:20b,short_instruction,True,,27204.376220703125,31253.162384033203,79,256,58.832102974116644,16.9975226015625,20.220059,17.423326669916932,18.123722076416012,247
1761166165.5200624,gpt-oss:20b,math_gsm8k,True,,32796.509981155396,34356.72688484192,101,176,58.80804182650336,17.00447709090909,248.687003,17.721012414219867,18.429875373840332,166
1761166170.1578724,gpt-oss:20b,long_instruction,True,,,39324.30386543274,112,256,58.49283963216714,17.0961096484375,258.468656,17.092437141026434,18.137264251708984,253
1761166174.7268107,gpt-oss:20b,short_instruction,True,,39438.52877616882,43516.24011993408,79,256,58.42672112659686,17.11545643359375,182.311889,17.537942299476036,18.53177547454834,247
1761166179.3539808,gpt-oss:20b,code_humaneval,True,,45282.00960159302,48614.58611488342,96,256,58.55514258844886,17.0779193046875,251.431667,17.48888212659581,18.194127082824707,247
1761166183.9458628,gpt-oss:20b,chat_multi_turn,True,,48918.98250579834,52971.01068496704,94,256,58.46872780371642,17.10315988671875,209.669342,17.49352211894294,18.115592002868652,247
1761166188.3440187,gpt-oss:20b,chat_multi_turn,True,,53504.406452178955,57557.459592819214,94,256,58.52973982652014,17.08533137109375,20.586297,17.502097465731353,18.06161403656006,247
1761166191.5896199,gpt-oss:20b,math_gsm8k,True,,58624.22752380371,60189.48221206665,101,176,58.80196151262476,17.00623540909091,248.577682,17.724266971450255,17.904222011566162,166
1761166196.1772966,gpt-oss:20b,chat_multi_turn,True,,61245.99051475525,65296.67615890503,94,256,58.52898018065358,17.08555312109375,209.855136,17.49482425118265,18.14703941345215,247
